idx,obj,act,obj_idxs,act_idxs
0,backpack,transport,0,0
1,computer,work,1,1
2,desk,sit,2,2
3,monitor,look,3,3
4,chair,sit,4,2
5,computer,look,1,3
6,computer,use,1,4
7,monitor,use,3,4
8,photograph,indicate,5,5
9,stroller,push,6,6
10,sidewalk,walk,7,7
11,shadow,roll,8,8
12,ocean,confront,9,9
13,street,walk,10,7
14,street,traverse,10,10
15,road,traverse,11,10
16,umbrella,transport,12,0
17,shopping_bag,transport,13,0
18,bag,transport,14,0
19,motorcycle,depend_on,15,11
20,car,depend_on,16,11
21,bag,transport,14,0
22,car,stand,16,12
23,man,stand,17,12
24,newspaper,read,18,13
25,telephone,sit,19,2
26,hand,look,20,3
27,train,sit,21,2
28,metro,sit,22,2
29,train,wait,21,14
30,book,read,23,13
31,rock,sit,24,2
32,gesture,make,25,15
33,bicycle,depend_on,26,11
34,street,wait,10,14
35,woman,talk,27,16
36,sofa,sit,28,2
37,leather,sit,29,2
38,hand,clasp,20,17
39,bicycle,stand,26,12
40,table,stand,30,12
41,bench,sit,31,2
42,street,depend_on,10,11
43,street,stand,10,12
44,room,stand,32,12
45,drinking_fountain,stand,33,12
46,table,sit,30,2
47,easy_chair,sit,34,2
48,sidewalk,stand,7,12
49,walk,walk,35,7
50,computer,sit,1,2
51,step,sit,36,2
52,measure,sit,37,2
53,passenger_car,push,38,6
54,building,enter,39,18
55,building,become,39,19
56,building,stand,39,12
57,cane,walk,40,7
58,cane,use,40,4
59,church,stand,41,12
60,step,walk,36,7
61,dog,walk,42,7
62,car,drive,16,20
63,map,look,43,3
64,map,read,43,13
65,newspaper,transport,18,0
66,crossing,walk,44,7
67,car,walk,16,7
68,van,walk,45,7
69,road,walk,11,7
70,laptop,use,46,4
71,recliner,sit,47,2
72,drink,enjoy,48,21
73,piano,play,49,22
74,man,watch,17,23
75,piano,sit,49,2
76,counter,sit,50,2
77,woman,sit,27,2
78,menu,look,51,3
79,woman,leave,27,24
80,restaurant,stand,52,12
81,suit,stand,53,12
82,table,seat,30,25
83,building,front,39,26
84,case,transport,54,0
85,crowd,walk,55,7
86,booklet,read,56,13
87,blanket,sit,57,2
88,bishop,stand,58,12
89,building,walk,39,7
90,building,leave,39,24
91,boat,stand,59,12
92,boat,steer,59,27
93,telephone_booth,stand,60,12
94,sidewalk,wait,7,14
95,shoulder,look,61,3
96,intersection,traverse,62,10
97,shop,indicate,63,5
98,park_bench,sit,64,2
99,child,transport,65,0
100,cart,stand,66,12
101,crossing,use,44,4
102,man,walk,17,7
103,pavement,walk,67,7
104,woman,walk,27,7
105,telephone,talk,19,16
106,bus,depend_on,68,11
107,bus,exceed,68,28
108,machine,sit,69,2
109,window,look,70,3
110,outside,gather,71,29
111,booklet,transport,56,0
112,airplane,walk,72,7
113,cart,drive,66,20
114,airplane,stand,72,12
115,way,walk,73,7
116,trail,walk,74,7
117,table,front,30,26
118,water,stand,75,12
119,internet,hold,76,30
120,spectacles,remove,77,31
121,awning,walk,78,7
122,sign,walk,79,7
123,ski,transport,80,0
124,plaza,sit,81,2
125,bench,put,31,32
126,plaza,talk,81,16
127,jacket,transport,82,0
128,shop,walk,63,7
129,minibike,depend_on,83,11
130,parking_lot,walk,84,7
131,batch,walk,85,7
132,shoulder_bag,transport,86,0
133,minibike,drive,83,20
134,park,walk,87,7
135,tile,stand,88,12
136,head,become,89,19
137,item,look,90,3
138,item,indicate,90,5
139,tile,walk,88,7
140,tray,transport,91,0
141,cone,run,92,33
142,grass,stand,93,12
143,ship,stand,94,12
144,wall,sit,95,2
145,truck,walk,96,7
146,surfboard,transport,97,0
147,badminton,play,98,22
148,tennis,play,99,22
149,ball,see,100,34
150,hammer,reach,101,35
151,belt,blacken,102,36
152,block,stand,103,12
153,board,transport,104,0
154,water,look,75,3
155,water,close,75,37
156,parachute,attach,105,38
157,attraction,visit,106,39
158,bridge,walk,107,7
159,table,tend,30,40
160,airplane,watch,72,23
161,machine,push,69,6
162,vacuum,push,108,6
163,stool,stand,109,12
164,computer_game,play,110,22
165,aquarium,look,111,3
166,picture,look,112,3
167,present,wind,113,41
168,gift,wind,114,41
169,car,sit,16,2
170,vehicle,sit,115,2
171,counter,stand,50,12
