,act,act_idxs
0,board,0
1,direct,1
2,exit,2
3,fly,3
4,inspect,4
5,load,5
6,ride,6
7,sit_on,7
8,wash,8
9,no_interaction,9
10,carry,10
11,hold,11
13,jump,12
14,hop_on,13
15,park,14
16,push,15
17,repair,16
20,straddle,17
21,walk,18
24,chase,19
25,feed,20
27,pet,21
28,release,22
29,watch,23
32,drive,24
36,launch,25
39,row,26
40,sail,27
42,stand_on,28
43,tie,29
47,drink_with,30
50,lick,31
51,open,32
52,pour,33
63,wave,34
68,hose,35
76,dry,36
79,hug,37
80,kiss,38
82,scratch,39
88,lie_on,40
97,herd,41
101,lasso,42
102,milk,43
107,clean,44
108,eat_at,45
109,sit_at,46
114,groom,47
121,run,48
124,train,49
138,race,50
156,turn,51
161,greet,52
165,stab,53
166,tag,54
167,teach,55
182,shear,56
194,control,57
198,buy,58
199,cut,59
200,eat,60
203,peel,61
204,pick,62
205,smell,63
212,wear,64
224,break,65
227,sign,66
228,swing,67
229,throw,68
230,wield,69
236,hunt,70
250,read,71
253,stir,72
264,blow,73
269,light,74
270,make,75
271,pick_up,76
274,cook,77
287,talk_on,78
288,text_on,79
290,check,80
293,set,81
300,sip,82
302,fill,83
328,paint,84
331,lift,85
332,stick,86
336,block,87
337,catch,88
339,spin,89
349,operate,90
366,type_on,91
368,assemble,92
374,pull,93
376,cut_with,94
404,squeeze,95
415,pay,96
426,slide,97
431,move,98
435,point,99
454,flip,100
455,grind,101
463,adjust,102
491,dribble,103
492,hit,104
495,kick,105
497,serve,106
503,stand_under,107
504,stop_at,108
507,drag,109
512,pack,110
514,zip,111
551,flush,112
558,brush_with,113
562,install,114
578,lose,115
591,toast,116
