idx,obj,act,obj_idxs,act_idxs
0,airplane,board,0,0
1,airplane,direct,0,1
2,airplane,exit,0,2
3,airplane,fly,0,3
4,airplane,inspect,0,4
5,airplane,load,0,5
6,airplane,ride,0,6
7,airplane,sit_on,0,7
8,airplane,wash,0,8
9,airplane,no_interaction,0,9
10,bicycle,carry,1,10
11,bicycle,hold,1,11
12,bicycle,inspect,1,4
13,bicycle,jump,1,12
14,bicycle,hop_on,1,13
15,bicycle,park,1,14
16,bicycle,push,1,15
17,bicycle,repair,1,16
18,bicycle,ride,1,6
19,bicycle,sit_on,1,7
20,bicycle,straddle,1,17
21,bicycle,walk,1,18
22,bicycle,wash,1,8
23,bicycle,no_interaction,1,9
24,bird,chase,2,19
25,bird,feed,2,20
26,bird,hold,2,11
27,bird,pet,2,21
28,bird,release,2,22
29,bird,watch,2,23
30,bird,no_interaction,2,9
31,boat,board,3,0
32,boat,drive,3,24
33,boat,exit,3,2
34,boat,inspect,3,4
35,boat,jump,3,12
36,boat,launch,3,25
37,boat,repair,3,16
38,boat,ride,3,6
39,boat,row,3,26
40,boat,sail,3,27
41,boat,sit_on,3,7
42,boat,stand_on,3,28
43,boat,tie,3,29
44,boat,wash,3,8
45,boat,no_interaction,3,9
46,bottle,carry,4,10
47,bottle,drink_with,4,30
48,bottle,hold,4,11
49,bottle,inspect,4,4
50,bottle,lick,4,31
51,bottle,open,4,32
52,bottle,pour,4,33
53,bottle,no_interaction,4,9
54,bus,board,5,0
55,bus,direct,5,1
56,bus,drive,5,24
57,bus,exit,5,2
58,bus,inspect,5,4
59,bus,load,5,5
60,bus,ride,5,6
61,bus,sit_on,5,7
62,bus,wash,5,8
63,bus,wave,5,34
64,bus,no_interaction,5,9
65,car,board,6,0
66,car,direct,6,1
67,car,drive,6,24
68,car,hose,6,35
69,car,inspect,6,4
70,car,jump,6,12
71,car,load,6,5
72,car,park,6,14
73,car,ride,6,6
74,car,wash,6,8
75,car,no_interaction,6,9
76,cat,dry,7,36
77,cat,feed,7,20
78,cat,hold,7,11
79,cat,hug,7,37
80,cat,kiss,7,38
81,cat,pet,7,21
82,cat,scratch,7,39
83,cat,wash,7,8
84,cat,chase,7,19
85,cat,no_interaction,7,9
86,chair,carry,8,10
87,chair,hold,8,11
88,chair,lie_on,8,40
89,chair,sit_on,8,7
90,chair,stand_on,8,28
91,chair,no_interaction,8,9
92,couch,carry,9,10
93,couch,lie_on,9,40
94,couch,sit_on,9,7
95,couch,no_interaction,9,9
96,cow,feed,10,20
97,cow,herd,10,41
98,cow,hold,10,11
99,cow,hug,10,37
100,cow,kiss,10,38
101,cow,lasso,10,42
102,cow,milk,10,43
103,cow,pet,10,21
104,cow,ride,10,6
105,cow,walk,10,18
106,cow,no_interaction,10,9
107,dining_table,clean,11,44
108,dining_table,eat_at,11,45
109,dining_table,sit_at,11,46
110,dining_table,no_interaction,11,9
111,dog,carry,12,10
112,dog,dry,12,36
113,dog,feed,12,20
114,dog,groom,12,47
115,dog,hold,12,11
116,dog,hose,12,35
117,dog,hug,12,37
118,dog,inspect,12,4
119,dog,kiss,12,38
120,dog,pet,12,21
121,dog,run,12,48
122,dog,scratch,12,39
123,dog,straddle,12,17
124,dog,train,12,49
125,dog,walk,12,18
126,dog,wash,12,8
127,dog,chase,12,19
128,dog,no_interaction,12,9
129,horse,feed,13,20
130,horse,groom,13,47
131,horse,hold,13,11
132,horse,hug,13,37
133,horse,jump,13,12
134,horse,kiss,13,38
135,horse,load,13,5
136,horse,hop_on,13,13
137,horse,pet,13,21
138,horse,race,13,50
139,horse,ride,13,6
140,horse,run,13,48
141,horse,straddle,13,17
142,horse,train,13,49
143,horse,walk,13,18
144,horse,wash,13,8
145,horse,no_interaction,13,9
146,motorcycle,hold,14,11
147,motorcycle,inspect,14,4
148,motorcycle,jump,14,12
149,motorcycle,hop_on,14,13
150,motorcycle,park,14,14
151,motorcycle,push,14,15
152,motorcycle,race,14,50
153,motorcycle,ride,14,6
154,motorcycle,sit_on,14,7
155,motorcycle,straddle,14,17
156,motorcycle,turn,14,51
157,motorcycle,walk,14,18
158,motorcycle,wash,14,8
159,motorcycle,no_interaction,14,9
160,person,carry,15,10
161,person,greet,15,52
162,person,hold,15,11
163,person,hug,15,37
164,person,kiss,15,38
165,person,stab,15,53
166,person,tag,15,54
167,person,teach,15,55
168,person,lick,15,31
169,person,no_interaction,15,9
170,potted_plant,carry,16,10
171,potted_plant,hold,16,11
172,potted_plant,hose,16,35
173,potted_plant,no_interaction,16,9
174,sheep,carry,17,10
175,sheep,feed,17,20
176,sheep,herd,17,41
177,sheep,hold,17,11
178,sheep,hug,17,37
179,sheep,kiss,17,38
180,sheep,pet,17,21
181,sheep,ride,17,6
182,sheep,shear,17,56
183,sheep,walk,17,18
184,sheep,wash,17,8
185,sheep,no_interaction,17,9
186,train,board,18,0
187,train,drive,18,24
188,train,exit,18,2
189,train,load,18,5
190,train,ride,18,6
191,train,sit_on,18,7
192,train,wash,18,8
193,train,no_interaction,18,9
194,tv,control,19,57
195,tv,repair,19,16
196,tv,watch,19,23
197,tv,no_interaction,19,9
198,apple,buy,20,58
199,apple,cut,20,59
200,apple,eat,20,60
201,apple,hold,20,11
202,apple,inspect,20,4
203,apple,peel,20,61
204,apple,pick,20,62
205,apple,smell,20,63
206,apple,wash,20,8
207,apple,no_interaction,20,9
208,backpack,carry,21,10
209,backpack,hold,21,11
210,backpack,inspect,21,4
211,backpack,open,21,32
212,backpack,wear,21,64
213,backpack,no_interaction,21,9
214,banana,buy,22,58
215,banana,carry,22,10
216,banana,cut,22,59
217,banana,eat,22,60
218,banana,hold,22,11
219,banana,inspect,22,4
220,banana,peel,22,61
221,banana,pick,22,62
222,banana,smell,22,63
223,banana,no_interaction,22,9
224,baseball_bat,break,23,65
225,baseball_bat,carry,23,10
226,baseball_bat,hold,23,11
227,baseball_bat,sign,23,66
228,baseball_bat,swing,23,67
229,baseball_bat,throw,23,68
230,baseball_bat,wield,23,69
231,baseball_bat,no_interaction,23,9
232,baseball_glove,hold,24,11
233,baseball_glove,wear,24,64
234,baseball_glove,no_interaction,24,9
235,bear,feed,25,20
236,bear,hunt,25,70
237,bear,watch,25,23
238,bear,no_interaction,25,9
239,bed,clean,26,44
240,bed,lie_on,26,40
241,bed,sit_on,26,7
242,bed,no_interaction,26,9
243,bench,inspect,27,4
244,bench,lie_on,27,40
245,bench,sit_on,27,7
246,bench,no_interaction,27,9
247,book,carry,28,10
248,book,hold,28,11
249,book,open,28,32
250,book,read,28,71
251,book,no_interaction,28,9
252,bowl,hold,29,11
253,bowl,stir,29,72
254,bowl,wash,29,8
255,bowl,lick,29,31
256,bowl,no_interaction,29,9
